,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
3808,Pinhalão,PR,1935.0,1255.0,3915.0,2479.0,0.7,-50.06260306,-23.78735473,158405.35,24623.87
3809,Pinhalzinho,SP,4229.0,2116.0,6418.0,4095.0,0.725,-46.59057732,-22.78079607,235728.29,16151.3
3810,Pinhalzinho,SC,5117.0,4322.0,12192.0,8459.0,0.78,-52.98225325,-26.84881433,942606.52,49338.21
3811,Pinhão,PR,8568.0,4488.0,15217.0,9524.0,0.654,-51.64827019,-25.69629501,1889769.0,58776.09
3812,Pinhão,SE,1759.0,999.0,3775.0,2372.0,0.583,-37.72211072,-10.56668995,60790.92,9353.89
3813,Pinheiral,RJ,7106.0,6425.0,20371.0,13695.0,0.715,-44.00035456,-22.51567399,367133.03,15248.92
3815,Pinheiro,MA,19532.0,11843.0,50391.0,31777.0,0.637,-45.0839266,-2.5227405,796.36,9720.73
3816,Pinheiro Machado,RS,4729.0,3604.0,9753.0,6148.0,0.66,-53.38461997,-31.58059267,286054.61,22099.4
3817,Pinheiro Preto,SC,936.0,509.0,1520.0,1034.0,0.777,-51.23053648,-27.04513462,149835.75,43582.24
3818,Pinheiros,ES,7457.0,5943.0,18679.0,11929.0,0.67,-40.21772808,-18.41332334,415.7,15474.98
3819,Pintadas,BA,2879.0,1670.0,5825.0,3545.0,0.612,-39.90823863,-11.80803651,77032.66,6980.13
3820,Pinto Bandeira,RS,3174.0,1846.0,6170.0,3841.0,0.665,-46.515776685,-18.089192490000002,51771.14,18184.45
3821,Pintópolis,MG,1858.0,695.0,2532.0,1515.0,0.594,-45.14950688,-16.05498973,59114.6,7816.29
3824,Piquerobi,SP,1202.0,911.0,2654.0,1680.0,0.711,-51.7316269,-21.8849897,55685.18,15107.21
3825,Piquet Carneiro,CE,4456.0,2356.0,7414.0,4468.0,0.6,-39.41940626,-5.80856956,114957.79,6925.59
